ticker,snapshot_utc,sector,industry,country,price,change_pct,pe,forward_pe,peg,eps_growth_this_year_pct,eps_next_year,eps_next_5y_pct,sales_yoy_ttm_pct,eps_qoq_pct,sales_qoq_pct,roe_pct,roic_pct,gross_margin_pct,oper_margin_pct,profit_margin_pct,debt_to_equity,lt_debt_to_equity,current_ratio,quick_ratio,short_float_pct,short_ratio,insider_own_pct,insider_trans_pct,institutional_own_pct,institutional_trans_pct,perf_week_pct,perf_month_pct,sma20_pct,sma50_pct,sma200_pct,rsi_14,52w_high_price,52w_high_distance_pct,52w_low_price,52w_low_distance_pct
AAPL,2025-09-27T23:58:43.349444+00:00,Technology,Consumer Electronics,USA,255.46,-0.55,38.83,31.9,4.28,9.27,8.01,9.08,5.97,12.19,9.63,149.81,66.96,46.68,31.87,24.3,1.54,1.25,0.87,0.83,0.8,2.07,0.1,-2.09,64.45,1.19,4.06,10.83,6.1,11.82,15.09,69.66,260.1,-1.78,169.21,50.97
MSFT,2025-09-27T23:58:43.349444+00:00,Technology,Software - Infrastructure,USA,511.46,0.87,37.49,27.95,2.25,13.84,18.3,16.64,14.93,23.77,18.1,33.28,22.93,68.82,45.62,36.15,0.33,0.29,1.35,1.35,0.89,3.2,1.48,-0.26,73.19,-0.34,-1.25,0.93,0.87,-0.13,13.6,52.46,555.45,-7.92,344.79,48.34
TSLA,2025-09-27T23:58:43.349444+00:00,Consumer Cyclical,Auto Manufacturers,USA,440.4,4.02,255.04,176.46,18.47,-28.26,2.5,13.81,-2.73,-21.57,-11.78,8.43,6.93,17.48,6.23,6.54,0.17,0.13,2.04,1.55,3.08,0.96,15.92,0.29,48.46,1.69,3.36,25.97,13.51,25.13,31.67,69.58,488.54,-9.85,212.11,107.63
NVDA,2025-09-27T23:58:43.349444+00:00,Technology,Semiconductors,USA,178.19,0.28,50.72,27.87,1.45,51.12,6.39,34.94,71.55,61.23,55.6,109.42,78.42,69.85,58.09,52.41,0.11,0.1,4.21,3.6,0.93,1.25,4.08,-0.97,67.9,1.74,0.86,-1.88,1.93,0.92,25.64,53.29,184.55,-3.45,86.62,105.71
META,2025-09-27T23:58:43.349444+00:00,Communication Services,Internet Content & Information,USA,743.75,-0.69,26.93,24.81,2.1,18.29,29.98,12.84,19.38,38.3,21.61,40.65,29.47,81.95,44.08,39.99,0.25,0.24,1.97,1.97,1.22,2.26,13.85,-0.14,67.98,-0.52,-4.45,-0.49,-1.75,-0.97,11.92,43.74,796.25,-6.59,479.8,55.01
GOOGL,2025-09-27T23:58:43.349444+00:00,Communication Services,Internet Content & Information,USA,246.54,0.31,26.26,23.07,1.77,23.51,10.69,14.86,13.19,22.28,14.06,34.83,28.86,58.92,32.65,31.13,0.11,0.1,1.9,1.9,1.16,1.78,52.04,0.02,38.33,-1.76,-3.21,18.83,2.32,14.47,33.24,68.32,256.0,-3.7,140.53,75.44
AMZN,2025-09-27T23:58:43.349444+00:00,Consumer Cyclical,Internet Retail,USA,219.78,0.75,33.54,28.96,1.8,20.5,7.59,18.62,10.87,33.48,13.33,24.77,15.1,49.61,11.51,10.54,0.46,0.4,1.02,0.81,0.72,1.6,9.44,-2.44,65.33,1.77,-5.05,-4.08,-3.97,-3.34,2.34,39.77,242.52,-9.38,161.38,36.19
JPM,2025-09-27T23:58:43.349444+00:00,Financial,Banks - Diversified,USA,316.06,0.83,16.22,15.3,2.38,8.68,20.66,6.82,4.0,-14.44,-8.05,16.13,6.78,,27.19,19.78,3.13,1.28,1.16,,0.98,3.17,0.37,-2.67,74.31,2.87,0.41,5.61,3.14,5.77,18.47,70.21,316.58,-0.16,202.16,56.34
V,2025-09-27T23:58:43.349444+00:00,Financial,Credit Services,USA,337.37,0.73,33.3,26.25,2.56,13.78,12.85,13.02,11.38,12.61,14.29,51.18,34.44,77.2,67.32,51.58,0.65,0.51,1.12,1.12,1.58,4.44,12.04,-0.09,79.79,-1.27,-1.24,-3.7,-1.55,-2.1,-1.4,43.82,375.51,-10.16,270.0,24.95
UNH,2025-09-27T23:58:43.349444+00:00,Healthcare,Healthcare Plans,USA,344.08,-0.43,14.9,19.47,,-41.34,17.67,-8.95,9.98,-18.23,12.91,23.14,12.66,,7.27,5.04,0.84,0.78,0.85,,1.58,0.87,0.26,4.84,86.66,-5.66,2.19,13.23,2.64,14.44,-15.3,61.96,630.73,-45.45,234.6,46.67
PG,2025-09-27T23:58:43.349444+00:00,Consumer Defensive,Household & Personal Products,USA,152.5,0.23,23.44,20.51,4.77,2.35,7.44,4.91,0.29,16.57,1.74,31.23,20.18,51.34,24.15,18.61,0.68,0.49,0.7,0.49,0.75,2.21,0.07,-8.04,70.24,-0.36,-2.27,-2.84,-2.74,-2.22,-6.36,38.26,180.43,-15.48,149.91,1.73
PEP,2025-09-27T23:58:43.349444+00:00,Consumer Defensive,Beverages - Non-Alcoholic,USA,140.44,0.37,25.6,16.49,7.78,-1.62,8.51,3.29,-0.34,-58.85,0.99,39.88,13.07,54.72,15.12,8.23,2.79,2.14,0.78,0.6,1.47,2.26,0.34,0.0,76.19,0.16,-0.93,-4.88,-1.99,-2.82,-1.85,42.05,177.5,-20.88,127.6,10.06
LLY,2025-09-27T23:58:43.349444+00:00,Healthcare,Drug Manufacturers - General,USA,724.54,1.39,48.04,24.01,1.16,75.78,30.18,41.43,36.83,91.71,37.64,86.7,26.31,82.64,42.13,25.91,2.18,1.87,1.28,1.0,0.86,1.66,10.33,-0.42,73.52,-0.29,-3.65,-1.31,-2.76,-1.44,-7.57,44.14,937.0,-22.67,623.78,16.15
XOM,2025-09-27T23:58:43.349444+00:00,Energy,Oil & Gas Integrated,USA,117.22,1.41,16.62,15.68,2.92,-14.01,7.48,5.7,-3.79,-23.6,-12.35,11.68,10.47,22.05,11.2,9.44,0.15,0.13,1.25,0.88,1.05,2.87,0.1,-0.05,66.28,-0.98,3.9,3.96,3.63,5.89,7.13,65.92,126.34,-7.22,97.8,19.86
KO,2025-09-27T23:58:43.349444+00:00,Consumer Defensive,Beverages - Non-Alcoholic,USA,65.67,-0.47,23.27,20.44,3.77,3.36,3.21,6.18,1.34,58.19,3.32,44.76,16.56,61.46,28.23,25.88,1.73,1.57,1.21,0.98,0.92,2.45,0.77,-1.43,74.4,0.35,-1.14,-4.59,-2.31,-4.26,-4.13,32.95,74.38,-11.71,60.62,8.34
BAC,2025-09-27T23:58:43.349444+00:00,Financial,Banks - Diversified,USA,52.21,0.69,15.29,12.22,1.02,14.51,4.27,14.93,4.95,7.89,0.34,9.46,4.36,,15.41,13.4,2.57,1.04,0.98,,1.41,2.71,0.19,-1.04,75.22,-1.02,-0.08,3.63,2.45,6.56,15.81,68.4,52.88,-1.27,33.06,57.9
CSCO,2025-09-27T23:58:43.349444+00:00,Technology,Communication Equipment,USA,67.22,-0.93,25.74,15.47,4.61,6.18,4.34,5.58,5.3,31.99,7.56,22.65,14.75,63.94,22.66,18.45,0.63,0.51,1.0,0.91,1.14,2.25,0.25,-1.86,78.24,-0.88,-1.45,-1.78,-0.58,-1.3,6.1,46.58,72.55,-7.35,52.11,29.0
ADBE,2025-09-27T23:58:43.349444+00:00,Technology,Software - Application,USA,360.37,1.75,22.45,15.42,1.77,12.85,23.38,12.71,10.69,11.06,10.72,52.87,37.95,88.43,36.58,30.01,0.56,0.56,1.02,1.02,2.3,2.26,0.36,-0.03,83.8,-0.21,-1.51,1.13,1.57,1.39,-9.2,53.35,557.9,-35.41,330.04,9.19
CRM,2025-09-27T23:58:43.349444+00:00,Technology,Software - Application,USA,243.43,1.03,35.35,19.12,2.81,11.57,12.73,12.56,8.33,33.56,9.77,11.2,9.2,69.91,21.22,16.87,0.19,0.18,1.04,1.04,1.41,1.56,2.61,-0.72,82.44,-1.37,-1.48,-2.69,-1.37,-2.43,-13.72,46.46,369.0,-34.03,226.48,7.48
AVGO,2025-09-27T23:58:43.349444+00:00,Technology,Semiconductors,USA,334.53,-0.47,85.47,36.05,2.52,38.61,9.28,33.98,28.01,311.84,22.03,27.08,13.91,63.13,39.33,31.59,0.88,0.86,1.5,1.37,1.07,2.27,1.96,-2.35,77.76,0.86,-3.02,11.42,-1.01,6.75,37.5,52.8,374.23,-10.61,138.1,142.24
